time,gFx,gFy,gFz,TgF
0.001341769,0.3124,0.5700,0.6819,0.942
0.001801153,0.3222,0.5700,0.6734,0.939
0.002046461,0.3293,0.5688,0.6670,0.936
0.002470384,0.3389,0.5661,0.6641,0.936
0.003724307,0.3476,0.5681,0.6597,0.937
0.005902769,0.3559,0.5714,0.6590,0.942
0.009081769,0.3611,0.5714,0.6558,0.942
0.010124615,0.3699,0.5761,0.6536,0.947
0.013378461,0.3743,0.5793,0.6529,0.950
0.013999384,0.3801,0.5830,0.6529,0.954
0.015737769,0.3831,0.5837,0.6518,0.955
0.017807923,0.3850,0.5888,0.6511,0.959
0.020459384,0.3848,0.5930,0.6529,0.962
0.021845153,0.3833,0.5937,0.6553,0.964
0.023818076,0.3799,0.5952,0.6536,0.962
0.027550692,0.3748,0.5956,0.6553,0.962
0.028107923,0.3706,0.5979,0.6543,0.961
0.030196846,0.3633,0.5966,0.6558,0.958
0.032436538,0.3554,0.5971,0.6553,0.955
0.034278076,0.3454,0.5968,0.6576,0.953
0.036124538,0.3384,0.5922,0.6572,0.947
0.038002384,0.3305,0.5898,0.6614,0.946
0.039927,0.3207,0.5861,0.6614,0.940
0.042300307,0.3091,0.5830,0.6685,0.939
0.044274769,0.2951,0.5798,0.6729,0.936
0.046175923,0.2856,0.5763,0.6797,0.936
0.048234153,0.2736,0.5744,0.6832,0.934
0.050178769,0.2621,0.5705,0.6874,0.931
0.052070076,0.2502,0.5674,0.6942,0.931
0.054441769,0.2389,0.5644,0.7079,0.936
0.056289538,0.2282,0.5612,0.7196,0.941
0.059207615,0.2171,0.5561,0.7327,0.945
0.060668846,0.2089,0.5527,0.7484,0.953
0.062464615,0.2001,0.5478,0.7624,0.960
0.064587076,0.1922,0.5441,0.7741,0.965
0.066433846,0.1837,0.5372,0.7860,0.970
0.068312307,0.1752,0.5332,0.7967,0.975
0.070936307,0.1651,0.5274,0.8099,0.981
0.072331923,0.1575,0.5216,0.8224,0.987
0.074538384,0.1476,0.5175,0.8332,0.992
0.077046769,0.1393,0.5148,0.8444,0.999
0.079005461,0.1300,0.5123,0.8571,1.007
0.080361461,0.1214,0.5092,0.8647,1.011
0.082422769,0.1141,0.5074,0.8723,1.016
0.08438,0.1078,0.5067,0.8779,1.019
0.086496307,0.1031,0.5045,0.8842,1.023
0.088542461,0.0992,0.5048,0.8861,1.025
0.09063223,0.0941,0.5038,0.8910,1.028
0.102358153,0.0911,0.5029,0.8945,1.030
0.103342769,0.0887,0.5033,0.8979,1.033
0.103786769,0.0882,0.4994,0.9006,1.034
0.104001153,0.0860,0.4982,0.9038,1.036
0.104210153,0.0867,0.4952,0.9096,1.039
0.104418692,0.0852,0.4943,0.9160,1.044
0.104704538,0.0864,0.4916,0.9164,1.044
0.106600923,0.0833,0.4871,0.9208,1.045
0.108938461,0.0857,0.4833,0.9245,1.047
0.110635923,0.0836,0.4794,0.9262,1.046
0.112647384,0.0836,0.4750,0.9316,1.049
0.114684615,0.0818,0.4720,0.9334,1.049
0.116624846,0.0804,0.4684,0.9365,1.050
0.118513769,0.0831,0.4676,0.9404,1.054
0.120657153,0.0882,0.4630,0.9450,1.056
0.122921461,0.0926,0.4642,0.9480,1.060
0.125786769,0.0955,0.4603,0.9527,1.062
0.128237846,0.0990,0.4598,0.9563,1.066
0.128675307,0.1006,0.4577,0.9621,1.070
0.130818384,0.1026,0.4577,0.9670,1.075
0.132696615,0.1029,0.4542,0.9719,1.078
0.134548538,0.1009,0.4552,0.9744,1.080
0.136519923,0.1004,0.4535,0.9776,1.082
0.138618076,0.1029,0.4517,0.9830,1.087
0.140669461,0.1018,0.4496,0.9832,1.086
0.142994692,0.1011,0.4491,0.9846,1.087
0.14491223,0.1006,0.4493,0.9834,1.086
0.14678923,0.0987,0.4513,0.9839,1.087
0.14903223,0.0975,0.4515,0.9854,1.088
0.150762384,0.0962,0.4505,0.9839,1.086
0.152866769,0.0962,0.4528,0.9825,1.086
0.154995,0.0980,0.4524,0.9825,1.086
0.156766461,0.0990,0.4561,0.9785,1.084
0.159517538,0.0992,0.4545,0.9765,1.082
0.161145769,0.1018,0.4566,0.9700,1.077
0.162791923,0.1018,0.4582,0.9651,1.073
0.164732538,0.1038,0.4589,0.9576,1.067
0.166743384,0.1058,0.4601,0.9492,1.060
0.168900615,0.1111,0.4615,0.9431,1.056
0.171698384,0.1114,0.4635,0.9316,1.047
0.172891692,0.1165,0.4645,0.9199,1.037
0.176375384,0.1148,0.4703,0.9062,1.027
0.177237538,0.1146,0.4777,0.8920,1.018
0.179247692,0.1114,0.4850,0.8764,1.008
0.180821846,0.1104,0.4904,0.8619,0.998
0.182807923,0.1121,0.4948,0.8561,0.995
0.184916307,0.1121,0.4967,0.8424,0.984
0.187164923,0.1204,0.4948,0.8398,0.982
0.189752,0.1278,0.4916,0.8356,0.978
0.190959923,0.1348,0.4875,0.8325,0.974
0.198881538,0.1449,0.4826,0.8312,0.972
0.199894461,0.1490,0.4796,0.8253,0.966
0.200825538,0.1534,0.4743,0.8212,0.961
0.201413461,0.1610,0.4701,0.8156,0.955
0.202127692,0.1649,0.4696,0.8099,0.951
0.203197153,0.1679,0.4664,0.8016,0.943
0.205189769,0.1681,0.4679,0.7970,0.939
0.207201153,0.1681,0.4679,0.7946,0.937
0.209245769,0.1681,0.4698,0.7875,0.932
0.211062153,0.1691,0.4722,0.7831,0.930
0.213141846,0.1695,0.4782,0.7850,0.935
0.215052538,0.1668,0.4818,0.7885,0.939
0.216963307,0.1673,0.4875,0.7914,0.944
0.219009153,0.1610,0.4929,0.7967,0.951
0.220878384,0.1530,0.4973,0.7978,0.952
0.222923384,0.1439,0.5011,0.7948,0.951
0.225572846,0.1339,0.4999,0.7960,0.949
0.228181538,0.1280,0.5025,0.7934,0.948
0.229360615,0.1221,0.5045,0.7960,0.950
0.231037846,0.1192,0.5031,0.7997,0.952
0.232988307,0.1167,0.5013,0.8018,0.953
0.235072923,0.1180,0.4994,0.8051,0.955
0.236970384,0.1202,0.4948,0.8085,0.955
0.239222153,0.1236,0.4889,0.8156,0.959
0.242874153,0.1253,0.4850,0.8227,0.963
0.243494692,0.1295,0.4779,0.8307,0.967
0.246335076,0.1302,0.4731,0.8417,0.974
0.247391384,0.1278,0.4679,0.8479,0.977
0.249353153,0.1272,0.4630,0.8544,0.980
0.251294384,0.1244,0.4589,0.8566,0.980
0.253162153,0.1209,0.4596,0.8591,0.982
0.255377769,0.1139,0.4577,0.8628,0.983
0.257566769,0.1104,0.4571,0.8671,0.986
0.260021538,0.0994,0.4571,0.8724,0.990
0.261383615,0.0926,0.4573,0.8759,0.992
0.263228923,0.0860,0.4554,0.8820,0.996
0.265255923,0.0782,0.4547,0.8854,0.998
0.267650153,0.0711,0.4537,0.8918,1.003
0.269428307,0.0618,0.4501,0.8974,1.006
0.271384615,0.0571,0.4444,0.9057,1.010
0.273510153,0.0517,0.4428,0.9167,1.019
0.275780538,0.0510,0.4379,0.9292,1.028
0.277737769,0.0494,0.4340,0.9414,1.038
0.280048846,0.0449,0.4303,0.9497,1.044
0.281254153,0.0405,0.4251,0.9626,1.053
0.283363923,0.0403,0.4261,0.9729,1.063
0.28509223,0.0393,0.4205,0.9837,1.071
0.287531384,0.0401,0.4186,0.9890,1.075
0.289264846,0.0379,0.4205,0.9956,1.081
0.29444123,0.0359,0.4235,1.0012,1.088
0.295104615,0.0347,0.4205,1.0059,1.091
0.29590923,0.0342,0.4156,1.0103,1.093
0.297328,0.0328,0.4105,1.0177,1.098
0.299681461,0.0371,0.4061,1.0233,1.102
0.301724846,0.0396,0.4068,1.0313,1.109
0.303640615,0.0393,0.4027,1.0373,1.113
0.305829461,0.0381,0.3972,1.0418,1.116
0.308090769,0.0359,0.3983,1.0469,1.121
0.313393769,0.0349,0.3985,1.0506,1.124
0.314669461,0.0337,0.3968,1.0520,1.125
0.315049153,0.0330,0.3978,1.0513,1.125
0.31568423,0.0259,0.4000,1.0528,1.126
0.317486384,0.0225,0.4032,1.0477,1.123
0.319922384,0.0212,0.4070,1.0428,1.120
0.321347692,0.0161,0.4127,1.0362,1.115
0.323196846,0.0107,0.4158,1.0301,1.111
0.326577538,0.0061,0.4181,1.0247,1.107
0.327531,-0.0009,0.4230,1.0181,1.102
0.329291615,-0.0072,0.4273,1.0132,1.100
0.331344923,-0.0136,0.4295,1.0061,1.094
0.33336423,-0.0187,0.4293,1.0019,1.090
0.335653153,-0.0229,0.4307,0.9963,1.086
0.337575307,-0.0265,0.4300,0.9930,1.082
0.340027692,-0.0272,0.4279,0.9876,1.077
0.342982384,-0.0272,0.4261,0.9830,1.072
0.34368123,-0.0272,0.4200,0.9790,1.066
0.346288615,-0.0300,0.4190,0.9727,1.059
0.34783323,-0.0321,0.4149,0.9700,1.055
0.349860923,-0.0312,0.4107,0.9644,1.049
0.351618384,-0.0324,0.4095,0.9602,1.044
0.353752615,-0.0341,0.4061,0.9585,1.042
0.355719384,-0.0372,0.4044,0.9565,1.039
0.359357846,-0.0372,0.4019,0.9539,1.036
0.360341461,-0.0409,0.3988,0.9527,1.034
0.362244538,-0.0405,0.3970,0.9529,1.033
0.363895307,-0.0417,0.3972,0.9539,1.034
0.366310384,-0.0461,0.3963,0.9570,1.037
0.367766769,-0.0500,0.3972,0.9619,1.042
0.369819384,-0.0534,0.3983,0.9646,1.045
0.371788615,-0.0576,0.3981,0.9685,1.049
0.373863,-0.0630,0.4029,0.9660,1.049
0.376226153,-0.0635,0.4024,0.9675,1.050
0.377354076,-0.0644,0.4029,0.9668,1.049
0.379847076,-0.0642,0.4044,0.9670,1.050
0.381793846,-0.0642,0.4029,0.9656,1.048
0.383957153,-0.0649,0.4037,0.9639,1.047
0.385724846,-0.0639,0.4044,0.9616,1.045
0.387701538,-0.0612,0.4016,0.9614,1.044
0.389486692,-0.0566,0.4012,0.9588,1.041
0.393562153,-0.0530,0.3975,0.9560,1.037
0.394524538,-0.0486,0.3965,0.9509,1.031
0.395692846,-0.0463,0.3956,0.9480,1.028
0.397607076,-0.0434,0.3932,0.9436,1.023
0.399526769,-0.0385,0.3929,0.9382,1.018
0.401723307,-0.0351,0.3936,0.9357,1.016
0.403611692,-0.0272,0.3939,0.9346,1.015
0.406387,-0.0216,0.3941,0.9313,1.012
0.414166076,-0.0143,0.3963,0.9294,1.010
0.415068846,-0.0094,0.3985,0.9294,1.011
0.415355,-0.0021,0.4014,0.9309,1.014
0.415588538,0.0049,0.4041,0.9301,1.014
0.415891923,0.0114,0.4070,0.9316,1.017
0.418005846,0.0168,0.4100,0.9316,1.018
0.420146076,0.0230,0.4121,0.9309,1.018
0.422131923,0.0274,0.4156,0.9331,1.022
0.423821846,0.0342,0.4202,0.9316,1.023
0.42636523,0.0379,0.4217,0.9313,1.023
0.428922153,0.0413,0.4256,0.9304,1.024
0.43026,0.0454,0.4275,0.9272,1.022
0.43164423,0.0466,0.4293,0.9248,1.021
0.434165769,0.0496,0.4312,0.9225,1.020
0.435720846,0.0528,0.4332,0.9192,1.017
0.43778023,0.0564,0.4340,0.9162,1.015
0.440131692,0.0587,0.4332,0.9164,1.015
0.44296,0.0577,0.4366,0.9164,1.017
0.443841769,0.0606,0.4354,0.9150,1.015
0.446796923,0.0633,0.4335,0.9145,1.014
0.448127076,0.0638,0.4349,0.9108,1.011
0.451304615,0.0633,0.4363,0.9047,1.006
0.452015,0.0638,0.4366,0.9026,1.005
0.454242076,0.0618,0.4363,0.9020,1.004
0.455832307,0.0608,0.4381,0.8947,0.998
0.459394769,0.0598,0.4356,0.8908,0.993
0.460097461,0.0579,0.4359,0.8884,0.991
0.46237623,0.0577,0.4354,0.8852,0.988
0.463992615,0.0574,0.4344,0.8822,0.985
0.46642823,0.0552,0.4344,0.8820,0.985
0.468282692,0.0535,0.4342,0.8771,0.980
0.471356,0.0528,0.4330,0.8749,0.978
0.472040615,0.0484,0.4322,0.8786,0.980
0.474817846,0.0459,0.4328,0.8764,0.979
0.477208307,0.0449,0.4324,0.8730,0.975
0.478325538,0.0415,0.4324,0.8764,0.978
0.480200307,0.0413,0.4307,0.8759,0.977
0.482350384,0.0393,0.4332,0.8749,0.977
0.48414923,0.0361,0.4328,0.8757,0.977
0.48633223,0.0330,0.4337,0.8764,0.978
0.488346153,0.0303,0.4337,0.8786,0.980
0.491749769,0.0263,0.4354,0.8822,0.984
0.492386692,0.0225,0.4363,0.8913,0.993
0.496161769,0.0230,0.4373,0.8940,0.995
0.496698153,0.0193,0.4373,0.8964,0.998
0.498544615,0.0210,0.4366,0.8962,0.997
0.500461846,0.0203,0.4342,0.8991,0.999
0.502547,0.0212,0.4379,0.9015,1.002
0.504504,0.0186,0.4351,0.9013,1.001
0.507258076,0.0156,0.4366,0.8991,1.000
0.515968538,0.0124,0.4376,0.8994,1.000
0.516928307,0.0110,0.4371,0.8999,1.001
0.51734923,0.0112,0.4366,0.9013,1.002
0.517818769,0.0112,0.4376,0.9011,1.002
0.518195,0.0132,0.4388,0.9043,1.005
0.518543692,0.0114,0.4371,0.9099,1.010
0.521258692,0.0130,0.4340,0.9169,1.015
0.522380307,0.0154,0.4340,0.9194,1.017
0.524605153,0.0149,0.4312,0.9243,1.020
0.526353461,0.0170,0.4317,0.9257,1.022
0.528267384,0.0198,0.4300,0.9257,1.021
0.530726461,0.0212,0.4298,0.9285,1.023
0.532365153,0.0222,0.4293,0.9280,1.023
0.534432923,0.0240,0.4324,0.9282,1.024
0.536418769,0.0256,0.4322,0.9267,1.023
0.538563076,0.0230,0.4366,0.9243,1.022
0.541865846,0.0212,0.4386,0.9213,1.021
0.544403384,0.0191,0.4428,0.9173,1.019
0.545402461,0.0173,0.4459,0.9157,1.019
0.546591,0.0176,0.4461,0.9148,1.018
0.548471,0.0179,0.4447,0.9187,1.021
0.550795,0.0217,0.4444,0.9185,1.021
0.552416923,0.0268,0.4425,0.9180,1.019
0.554447076,0.0305,0.4415,0.9155,1.017
0.556323615,0.0300,0.4405,0.9128,1.014
0.559071307,0.0286,0.4417,0.9120,1.014
0.561987615,0.0284,0.4384,0.9120,1.012
0.562828615,0.0291,0.4384,0.9096,1.010
0.564475923,0.0288,0.4391,0.9052,1.006
0.566719692,0.0286,0.4396,0.9011,1.003
0.568673461,0.0298,0.4410,0.8971,1.000
0.571038692,0.0296,0.4405,0.8938,0.997
0.572624615,0.0305,0.4386,0.8935,0.996
0.575124538,0.0340,0.4376,0.8918,0.994
0.577909846,0.0352,0.4347,0.8879,0.989
0.579041846,0.0368,0.4324,0.8781,0.979
0.580752923,0.0352,0.4335,0.8715,0.974
0.582749846,0.0342,0.4303,0.8671,0.969
0.584744846,0.0337,0.4283,0.8581,0.960
0.58657223,0.0328,0.4298,0.8559,0.958
0.588595692,0.0323,0.4270,0.8561,0.957
0.591543615,0.0328,0.4256,0.8530,0.954
0.59570423,0.0340,0.4226,0.8563,0.956
0.596670461,0.0337,0.4217,0.8640,0.962
0.597237153,0.0335,0.4183,0.8754,0.971
0.598430692,0.0356,0.4181,0.8859,0.980
0.600329769,0.0391,0.4178,0.8933,0.987
0.602436923,0.0420,0.4178,0.8989,0.992
0.604548923,0.0413,0.4207,0.9006,0.995
0.607648307,0.0408,0.4230,0.9047,1.000
0.612988615,0.0422,0.4251,0.9069,1.003
0.614168307,0.0405,0.4293,0.9106,1.008
0.614741769,0.0379,0.4328,0.9113,1.010
0.614983,0.0349,0.4356,0.9094,1.009
0.616908,0.0310,0.4371,0.9113,1.011
0.618727,0.0296,0.4388,0.9103,1.011
0.620949461,0.0291,0.4384,0.9173,1.017
0.622981846,0.0279,0.4354,0.9218,1.020
0.624867076,0.0279,0.4347,0.9253,1.023
0.626973153,0.0263,0.4307,0.9294,1.025
0.628703384,0.0237,0.4288,0.9334,1.027
0.631051615,0.0222,0.4259,0.9353,1.028
0.632594153,0.0183,0.4237,0.9406,1.032
0.63466423,0.0191,0.4207,0.9424,1.032
0.636663692,0.0154,0.4202,0.9390,1.029
0.638801846,0.0107,0.4210,0.9353,1.026
0.641867307,0.0086,0.4214,0.9313,1.022
0.642924846,0.0024,0.4242,0.9260,1.019
0.645764538,-0.0021,0.4291,0.9218,1.017
0.646915,-0.0055,0.4305,0.9199,1.016
0.648749846,-0.0048,0.4300,0.9173,1.013
0.650770153,-0.0026,0.4328,0.9143,1.012
0.652696307,-0.0009,0.4340,0.9148,1.013
0.65498023,0.0005,0.4344,0.9196,1.017
0.658035384,0.0032,0.4381,0.9208,1.020
0.66050923,0.0058,0.4408,0.9196,1.020
0.661498384,0.0070,0.4420,0.9128,1.014
0.663085538,0.0075,0.4454,0.9071,1.011
0.664800615,0.0083,0.4466,0.9018,1.006
0.667248846,0.0073,0.4471,0.8938,0.999
0.669042461,0.0073,0.4479,0.8913,0.998
0.671120615,0.0058,0.4484,0.8979,1.004
0.672787692,0.0058,0.4493,0.9067,1.012
0.675598769,0.0066,0.4503,0.9140,1.019
0.677859,0.0042,0.4498,0.9245,1.028
0.679004307,0.0079,0.4528,0.9318,1.036
0.681063923,0.0098,0.4537,0.9348,1.039
0.683173538,0.0073,0.4537,0.9436,1.047
0.685271,0.0061,0.4559,0.9480,1.052
0.687422692,0.0061,0.4554,0.9480,1.052
0.689075692,0.0014,0.4561,0.9434,1.048
0.693412,0.0014,0.4566,0.9387,1.044
0.695740846,0.0009,0.4554,0.9309,1.036
0.696071076,0.0026,0.4566,0.9274,1.034
0.696861461,0.0068,0.4530,0.9233,1.028
0.698942153,0.0105,0.4520,0.9192,1.024
0.700799615,0.0159,0.4537,0.9180,1.024
0.703345153,0.0203,0.4523,0.9196,1.025
0.705081846,0.0237,0.4477,0.9213,1.025
0.707759384,0.0266,0.4452,0.9187,1.021
0.713172538,0.0276,0.4396,0.9216,1.021
0.714148846,0.0335,0.4332,0.9301,1.027
0.71446423,0.0368,0.4279,0.9348,1.029
0.715456538,0.0461,0.4237,0.9421,1.034
0.717147923,0.0533,0.4210,0.9462,1.037
0.719219384,0.0623,0.4202,0.9504,1.041
0.721109846,0.0677,0.4244,0.9441,1.037
0.724521846,0.0701,0.4291,0.9427,1.038
0.724993846,0.0701,0.4337,0.9282,1.027
0.72728123,0.0745,0.4417,0.9245,1.027
0.729161153,0.0787,0.4459,0.9287,1.033
0.731516846,0.0804,0.4477,0.9350,1.040
0.733199615,0.0820,0.4515,0.9329,1.040
0.735142692,0.0852,0.4537,0.9292,1.038
0.73708923,0.0845,0.4584,0.9223,1.033
0.739449461,0.0794,0.4613,0.9180,1.030
0.742639307,0.0752,0.4659,0.9138,1.028
0.744048538,0.0724,0.4694,0.9071,1.024
0.746256923,0.0696,0.4752,0.9084,1.028
0.747357769,0.0699,0.4782,0.9103,1.031
0.749488923,0.0689,0.4764,0.9133,1.032
0.751255,0.0618,0.4720,0.9187,1.035
0.753247615,0.0589,0.4694,0.9248,1.039
0.755408538,0.0562,0.4640,0.9326,1.043
0.758258384,0.0577,0.4638,0.9346,1.045
0.760824307,0.0589,0.4647,0.9326,1.044
0.761771307,0.0623,0.4671,0.9301,1.043
0.763824923,0.0610,0.4684,0.9280,1.041
0.765242076,0.0598,0.4679,0.9236,1.037
0.767534461,0.0608,0.4710,0.9253,1.040
0.769199615,0.0657,0.4718,0.9260,1.041
0.771730461,0.0687,0.4703,0.9143,1.030
0.773133769,0.0711,0.4708,0.8999,1.018
0.775421153,0.0750,0.4733,0.8873,1.008
0.777395692,0.0794,0.4733,0.8681,0.992
0.779639615,0.0825,0.4694,0.8539,0.978
0.781382076,0.0848,0.4666,0.8451,0.969
0.783351692,0.0860,0.4674,0.8430,0.968
0.785399615,0.0845,0.4654,0.8426,0.966
0.787649538,0.0806,0.4654,0.8344,0.959
0.789567615,0.0845,0.4674,0.8314,0.958
0.792922384,0.0852,0.4657,0.8356,0.960
0.793451076,0.0784,0.4645,0.8314,0.956
0.795737769,0.0801,0.4689,0.8319,0.958
0.797451384,0.0823,0.4708,0.8363,0.963
0.799212307,0.0869,0.4745,0.8361,0.965
0.801301769,0.0897,0.4808,0.8334,0.966
0.803402384,0.0972,0.4848,0.8314,0.967
0.805864846,0.1046,0.4869,0.8258,0.964
0.809856846,0.1041,0.4904,0.8085,0.951
0.811148615,0.1102,0.4931,0.7914,0.939
0.811461769,0.1102,0.4957,0.7860,0.936
0.814285769,0.1092,0.4974,0.7799,0.931
0.815378384,0.1087,0.5004,0.7733,0.927
0.817739307,0.1080,0.5013,0.7633,0.920
0.819772307,0.1080,0.5029,0.7552,0.914
0.821426153,0.1114,0.5069,0.7518,0.914
0.823383384,0.1129,0.5099,0.7457,0.910
0.825748846,0.1131,0.5143,0.7359,0.905
0.827435692,0.1167,0.5175,0.7247,0.898
0.830371,0.1165,0.5167,0.7252,0.898
0.831733769,0.1080,0.5180,0.7357,0.906
0.834277846,0.1073,0.5221,0.7415,0.913
0.835495923,0.1041,0.5227,0.7587,0.927
0.837898769,0.1002,0.5209,0.7772,0.941
0.839633461,0.0950,0.5214,0.7953,0.956
0.842097153,0.0877,0.5211,0.8144,0.971
0.843666769,0.0757,0.5241,0.8263,0.981
0.845995307,0.0620,0.5274,0.8417,0.995
0.848004615,0.0557,0.5341,0.8512,1.006
0.849758384,0.0508,0.5397,0.8486,1.007
0.851457538,0.0452,0.5458,0.8500,1.011
0.85407223,0.0445,0.5470,0.8493,1.011
0.855723923,0.0417,0.5490,0.8488,1.012
0.859103,0.0415,0.5512,0.8491,1.013
0.859807076,0.0428,0.5475,0.8493,1.011
0.862183615,0.0489,0.5458,0.8535,1.014
0.864026461,0.0522,0.5439,0.8475,1.008
0.865798384,0.0542,0.5400,0.8454,1.005
0.867647,0.0601,0.5332,0.8475,1.003
0.869858461,0.0631,0.5323,0.8461,1.002
0.871561538,0.0598,0.5265,0.8368,0.991
0.873859692,0.0562,0.5190,0.8321,0.982
0.875602769,0.0515,0.5162,0.8260,0.975
0.877768846,0.0410,0.5170,0.8285,0.977
0.879957153,0.0315,0.5172,0.8334,0.981
0.881720615,0.0276,0.5162,0.8417,0.988
0.88362123,0.0195,0.5190,0.8554,1.001
0.885965846,0.0102,0.5236,0.8712,1.016
0.887852615,-0.0016,0.5302,0.8798,1.027
0.889955384,-0.0131,0.5402,0.8798,1.032
0.892677769,-0.0214,0.5539,0.8803,1.040
0.894136923,-0.0272,0.5642,0.8764,1.043
0.896211384,-0.0304,0.5766,0.8688,1.043
0.898179307,-0.0295,0.5888,0.8610,1.043
0.899964,-0.0241,0.5986,0.8554,1.044
0.902274692,-0.0204,0.6059,0.8430,1.038
0.904346153,-0.0185,0.6117,0.8302,1.031
0.905985153,-0.0155,0.6191,0.8158,1.024
0.911984846,-0.0114,0.6257,0.8048,1.019
0.913325769,-0.0104,0.6267,0.7894,1.008
0.914234153,-0.0080,0.6287,0.7760,0.999
0.914812615,-0.0038,0.6282,0.7684,0.992
0.916254384,-0.0013,0.6259,0.7594,0.984
0.918275692,0.0051,0.6243,0.7557,0.980
0.920891923,0.0135,0.6187,0.7508,0.973
0.922319307,0.0186,0.6098,0.7518,0.968
0.93708923,0.0228,0.5991,0.7636,0.971
0.938521461,0.0274,0.5891,0.7767,0.975
0.939119307,0.0317,0.5775,0.7958,0.984
0.939600923,0.0364,0.5681,0.8083,0.989
0.940092615,0.0377,0.5619,0.8158,0.991
0.940579,0.0405,0.5544,0.8268,0.996
0.94103323,0.0408,0.5517,0.8370,1.003
0.941502076,0.0415,0.5505,0.8456,1.010
0.942170076,0.0373,0.5485,0.8532,1.015
0.942673461,0.0354,0.5488,0.8579,1.019
0.94928923,0.0320,0.5517,0.8654,1.027
0.950862461,0.0279,0.5509,0.8688,1.029
0.951423615,0.0259,0.5534,0.8761,1.037
0.951902769,0.0242,0.5537,0.8768,1.037
0.952381538,0.0210,0.5539,0.8845,1.044
0.95435323,0.0205,0.5565,0.8925,1.052
0.956511692,0.0191,0.5539,0.9059,1.062
0.959276,0.0225,0.5509,0.9262,1.078
0.960380615,0.0279,0.5444,0.9473,1.093
0.963664615,0.0352,0.5465,0.9626,1.108
0.964510769,0.0368,0.5448,0.9653,1.109
0.966793769,0.0403,0.5456,0.9651,1.109
0.968382153,0.0420,0.5485,0.9602,1.107
0.971222769,0.0442,0.5507,0.9543,1.103
0.972191692,0.0433,0.5534,0.9455,1.096
0.974896846,0.0424,0.5553,0.9350,1.088
0.976107,0.0415,0.5570,0.9243,1.080
0.978566769,0.0415,0.5573,0.9157,1.073
0.980446769,0.0415,0.5576,0.9018,1.061
0.982813461,0.0459,0.5556,0.8873,1.048
0.984384307,0.0471,0.5519,0.8761,1.037
0.986760846,0.0505,0.5495,0.8640,1.025
0.988788615,0.0542,0.5421,0.8561,1.015
0.991923923,0.0603,0.5367,0.8468,1.004
0.997491692,0.0655,0.5329,0.8426,0.999
0.998721538,0.0743,0.5253,0.8376,0.991
0.999568846,0.0825,0.5185,0.8325,0.984
1.000325461,0.0904,0.5153,0.8297,0.981
1.001838076,0.0953,0.5113,0.8281,0.978
1.002666692,0.1029,0.5109,0.8237,0.975
1.004573769,0.1080,0.5116,0.8190,0.972
1.006411692,0.1118,0.5138,0.8175,0.972
1.013243615,0.1123,0.5167,0.8144,0.971
1.014660923,0.1146,0.5190,0.8134,0.972
1.015408538,0.1104,0.5243,0.8114,0.972
1.016048307,0.1074,0.5283,0.8095,0.973
1.017231923,0.1031,0.5323,0.8085,0.973
1.018954153,0.0975,0.5365,0.8080,0.975
1.021385461,0.0918,0.5380,0.8141,0.980
1.022770769,0.0877,0.5388,0.8249,0.989
1.033436,0.0836,0.5390,0.8319,0.995
1.034763692,0.0804,0.5429,0.8332,0.998
1.035341846,0.0752,0.5465,0.8321,0.998
1.035905769,0.0694,0.5500,0.8297,0.998
1.036432307,0.0623,0.5573,0.8305,1.002
1.036943615,0.0550,0.5610,0.8312,1.004
1.037414153,0.0505,0.5661,0.8290,1.005
1.038279384,0.0452,0.5676,0.8251,1.002
1.041843076,0.0415,0.5700,0.8232,1.002
1.042955,0.0422,0.5712,0.8227,1.002
1.044817769,0.0415,0.5710,0.8178,0.998
1.047092923,0.0403,0.5693,0.8185,0.998
1.048786076,0.0437,0.5668,0.8146,0.993
1.050622769,0.0473,0.5621,0.8114,0.988
1.052552846,0.0542,0.5600,0.8083,0.985
1.054583384,0.0610,0.5546,0.8051,0.980
1.056544615,0.0650,0.5537,0.7990,0.974
1.059472846,0.0699,0.5495,0.7911,0.966
1.060591076,0.0736,0.5458,0.7860,0.960
1.063071692,0.0780,0.5437,0.7782,0.952
1.064585769,0.0816,0.5424,0.7750,0.949
1.067263692,0.0857,0.5385,0.7720,0.945
1.068811,0.0897,0.5367,0.7716,0.944
1.070994076,0.0953,0.5334,0.7687,0.940
1.072919692,0.0985,0.5319,0.7631,0.935
1.075696923,0.1024,0.5311,0.7596,0.932
1.076779384,0.1053,0.5304,0.7540,0.928
1.079024615,0.1080,0.5356,0.7506,0.928
1.081995,0.1102,0.5356,0.7474,0.926
1.082938692,0.1102,0.5380,0.7454,0.926
1.084875615,0.1121,0.5380,0.7459,0.926
1.086875384,0.1127,0.5414,0.7462,0.929
1.08879223,0.1109,0.5437,0.7489,0.932
1.092026769,0.1090,0.5468,0.7471,0.932
1.093145769,0.1062,0.5475,0.7459,0.931
1.095205769,0.1036,0.5509,0.7445,0.932
1.096872846,0.1021,0.5524,0.7479,0.935
1.099012538,0.1004,0.5527,0.7513,0.938
1.100820923,0.0967,0.5546,0.7523,0.940
1.103096846,0.0936,0.5519,0.7528,0.938
1.10528,0.0921,0.5544,0.7545,0.941
1.107058153,0.0880,0.5527,0.7567,0.941
1.112465538,0.0867,0.5529,0.7591,0.943
1.113772923,0.0857,0.5524,0.7692,0.951
1.11440423,0.0811,0.5568,0.7762,0.959
1.114944307,0.0780,0.5563,0.7916,0.971
